original_row_index,oof_pred,rating_true
6833,4.27,2.0
38488,3.98,3.0
5388,4.26,5.0
66531,3.07,3.0
36514,3.77,3.0
74861,3.45,3.5
53556,4.0,4.0
12784,3.66,3.5
57612,3.76,2.5
50704,3.26,3.0
46442,3.45,1.0
74688,4.16,5.0
60058,3.99,3.5
41964,3.3,2.0
11852,3.51,4.0
16974,3.7,5.0
65336,3.84,3.0
40305,3.17,3.0
55801,3.68,4.0
65477,3.85,3.5
53228,4.13,4.0
67211,3.34,4.0
47581,3.44,3.0
43517,3.71,3.0
24139,4.11,4.0
60530,3.67,2.0
64186,3.12,3.0
53743,3.2,4.0
72096,4.36,5.0
34367,3.44,3.5
57600,3.68,5.0
78345,3.77,4.0
70446,4.21,4.0
8175,3.34,5.0
2667,3.78,3.0
70187,4.02,4.0
42708,4.3,3.5
3857,3.98,4.5
59145,3.27,3.0
40121,4.07,2.5
4458,3.26,4.0
24425,3.62,2.5
46594,3.15,3.5
12918,3.63,5.0
43800,3.47,4.0
77896,3.76,3.0
67669,3.56,4.0
74613,3.19,3.0
29212,3.74,5.0
57833,3.51,5.0
15666,3.43,0.5
60148,3.74,3.0
18907,3.7,3.5
22832,4.13,3.5
28058,3.89,5.0
53862,3.97,1.5
81725,3.58,3.0
43062,3.55,3.5
15546,3.69,3.0
76044,3.03,4.0
56347,3.76,3.0
44030,3.52,1.0
22762,4.36,5.0
66985,3.11,2.0
49631,3.76,5.0
23017,3.29,4.0
9972,4.04,2.0
34196,3.77,4.0
14600,4.36,3.0
56653,3.99,4.0
1748,3.78,3.5
36200,3.7,4.0
45014,3.9,3.0
6445,4.06,5.0
63816,3.63,4.0
37746,3.7,4.0
23558,4.2,4.5
24247,4.21,3.0
32952,4.1,3.0
49670,3.32,3.5
38139,3.84,4.0
50515,3.45,4.0
43333,4.36,4.5
78676,3.12,3.0
28715,3.87,4.0
47937,3.68,4.0
44515,3.85,4.0
53740,3.48,2.0
25490,3.0,3.0
65663,2.83,3.0
37980,3.45,5.0
22292,3.94,5.0
25066,3.48,3.5
45070,3.86,4.0
19319,3.27,3.0
61739,3.88,5.0
74961,4.07,3.5
77645,3.66,3.0
32009,3.67,5.0
2972,3.72,4.0
39577,3.14,3.0
81513,3.73,4.0
21810,3.33,3.0
47591,3.43,4.5
15577,3.99,4.5
53755,3.05,1.5
66748,3.75,4.0
12413,4.03,3.5
59611,3.3,3.0
61870,3.48,3.0
68911,3.16,2.0
20054,3.82,4.0
56914,3.62,4.0
29177,3.31,3.0
54581,4.02,5.0
78157,4.08,3.5
46495,3.69,4.5
21257,3.09,2.0
79772,4.12,5.0
64669,4.26,4.5
15916,3.88,2.0
44469,3.96,3.5
57248,3.99,5.0
12894,3.85,4.0
56144,3.13,1.0
81460,3.21,4.0
70834,3.71,3.5
53913,3.28,0.5
59870,4.31,3.5
70362,3.77,4.0
34915,2.92,1.0
4956,2.54,3.0
19188,4.17,4.5
72315,3.33,4.0
11126,3.57,2.0
76474,3.49,3.5
72836,3.49,4.0
4080,3.17,2.5
48636,3.02,2.0
65983,3.53,4.5
66481,3.14,2.0
17244,4.29,4.5
13946,3.94,2.0
43121,3.49,4.0
56308,3.31,4.0
68606,3.34,3.0
54406,3.98,4.0
55810,3.6,2.5
54202,3.81,4.0
77010,3.3,3.0
79625,3.57,5.0
18176,2.63,2.0
77100,3.84,3.0
33998,3.42,3.5
16431,4.15,5.0
54445,4.26,4.0
49635,3.77,4.0
12567,2.72,3.0
65218,4.05,4.5
40853,3.89,4.0
72971,3.45,4.0
37348,3.72,4.0
38041,4.44,4.5
22995,3.43,3.0
19633,4.03,3.5
66966,3.62,3.0
24270,3.73,2.5
46273,3.24,3.5
5493,3.43,4.0
16215,3.86,3.5
57948,3.28,2.5
25911,3.83,4.5
14815,4.31,5.0
58172,4.02,4.0
25059,3.14,1.5
32511,3.35,3.5
59135,3.47,4.0
9826,3.9,4.0
48194,3.48,3.5
30526,3.39,3.0
71573,3.54,4.0
2991,3.43,3.0
67547,3.97,3.5
13457,3.59,4.0
67233,4.06,5.0
53146,3.9,4.0
34023,3.61,5.0
41626,3.5,2.0
76261,3.89,3.5
553,3.21,3.5
47205,3.87,3.0
74817,3.75,4.0
12532,2.82,5.0
52015,3.73,3.0
47645,4.42,2.0
7343,3.68,5.0
45884,4.27,5.0
8699,3.53,3.5
20194,3.76,3.5
26525,3.84,4.0
77220,2.73,1.5
55536,4.06,3.0
28956,3.76,3.5
78319,3.93,2.5
22464,3.62,4.0
70374,4.03,5.0
66691,4.13,3.0
15497,3.85,5.0
44662,3.01,3.0
65295,3.66,2.5
50218,3.79,4.5
13198,4.03,5.0
7610,3.04,3.5
48039,3.54,4.0
36865,3.67,3.0
55909,3.78,3.5
20529,3.79,3.0
38136,3.82,3.5
30307,3.77,5.0
20737,3.08,3.0
5066,3.62,4.0
70778,2.5,1.5
18972,3.85,4.0
5040,3.76,1.0
17013,3.33,2.0
19570,3.78,3.5
20683,3.48,3.0
56158,3.69,5.0
43372,3.67,4.5
61102,3.94,4.0
63570,3.32,2.0
64047,3.19,4.0
72661,3.28,2.0
25459,3.57,4.0
77331,3.52,3.5
67080,4.05,5.0
34641,4.43,4.5
2378,4.09,5.0
41208,3.53,3.0
54434,3.71,3.0
36824,4.05,3.5
45687,3.74,4.0
1844,3.76,3.5
27638,4.2,4.5
25442,3.31,2.5
25723,3.85,4.0
62097,3.51,4.0
66398,4.01,5.0
43148,3.67,3.0
67360,3.55,3.0
43423,3.59,3.5
15502,4.2,4.0
80287,4.13,5.0
78410,4.51,5.0
17184,3.96,3.0
76661,3.74,4.0
76215,3.7,4.0
64632,3.41,5.0
48153,3.78,2.0
21058,3.74,5.0
28398,3.64,3.0
65558,3.96,4.0
76969,4.11,3.0
34729,3.67,3.5
7007,3.67,5.0
26753,4.12,5.0
11427,3.96,5.0
4223,3.42,4.0
2084,3.74,1.0
54475,3.6,4.5
67258,4.36,5.0
49065,3.57,3.0
25854,4.02,3.0
47031,3.27,4.5
6946,3.87,4.0
41335,3.36,3.0
61113,3.32,3.0
76995,3.96,5.0
76328,3.79,4.0
11236,3.61,4.0
25021,3.7,2.0
52074,3.6,4.0
11349,3.14,2.5
5614,3.47,4.0
50251,4.1,4.0
17570,3.25,1.5
81004,3.33,3.5
56385,4.14,5.0
43304,3.91,3.5
38102,3.41,4.0
63611,3.22,1.5
30134,4.18,5.0
38379,3.94,3.5
57274,2.86,3.0
69938,3.89,4.0
3154,3.77,3.5
21954,3.74,3.0
42130,3.28,4.0
21187,4.24,2.0
45707,3.63,5.0
76864,3.83,4.0
6237,3.76,4.0
11419,3.84,3.0
35320,3.81,4.0
81775,3.77,4.0
37303,3.45,3.5
10448,3.87,3.5
30511,3.4,2.0
78530,2.96,2.0
35159,3.59,5.0
37838,3.56,5.0
66113,3.61,3.0
17137,4.06,4.0
24868,3.78,2.0
51240,3.99,4.5
41276,3.15,2.0
68372,3.78,4.0
71208,4.16,4.0
63309,4.02,3.0
67594,3.3,1.5
1404,3.44,4.5
72816,3.12,3.0
16302,4.02,4.0
49117,4.14,5.0
17782,4.14,3.5
78568,3.93,4.0
32048,3.82,3.0
32865,3.75,3.0
25135,2.52,1.5
21520,3.91,5.0
3286,3.54,4.0
36781,3.68,3.5
30824,3.75,2.5
56435,3.77,2.0
13663,4.03,4.0
50410,4.34,5.0
34885,4.15,4.5
58225,3.49,4.0
59970,3.72,2.5
47140,4.23,5.0
26414,2.9,3.0
2320,4.13,4.0
80880,3.56,4.0
48402,3.37,1.0
28081,3.38,4.0
65661,4.14,3.0
18109,3.66,3.0
57076,2.66,1.0
53666,2.53,1.0
30788,2.98,1.0
28751,3.94,4.0
33463,3.74,4.0
80406,3.42,2.0
19963,3.43,3.0
44726,3.11,4.0
4508,3.24,4.0
9051,3.52,2.0
16214,4.18,3.5
8578,4.21,3.0
26771,3.85,5.0
30035,4.18,4.0
20678,3.7,5.0
8457,3.64,4.0
31928,3.49,3.0
44903,4.44,5.0
56454,2.74,3.0
846,3.75,2.5
70607,3.47,4.0
47513,3.41,2.0
3439,3.93,4.0
71374,3.46,4.5
39718,4.28,4.5
4865,3.69,5.0
18043,3.3,4.0
57797,3.91,5.0
55469,3.57,3.5
63772,3.02,3.0
37496,3.4,3.0
35558,3.7,4.5
55167,2.96,1.5
70000,3.26,3.5
81254,3.81,4.0
9477,3.31,0.5
56430,3.63,3.0
10724,4.21,4.5
10371,4.16,5.0
37731,3.58,4.0
67947,4.26,5.0
73719,3.9,4.0
4724,2.91,4.0
71651,3.42,3.5
6928,3.62,4.0
76745,3.6,4.0
5884,3.53,4.0
18404,3.95,5.0
32307,3.62,3.0
884,3.65,1.0
5745,3.72,5.0
61673,4.4,3.0
48017,4.21,3.5
58074,3.81,4.0
32286,3.37,3.5
77850,3.36,1.0
45272,4.07,3.0
56477,3.24,4.5
70869,2.73,2.5
36836,3.33,2.0
37971,3.49,3.0
32119,3.91,5.0
40750,3.25,4.0
34740,3.85,4.0
72452,3.66,4.0
5571,3.4,4.5
28456,4.04,5.0
81772,4.25,5.0
15975,3.3,3.0
64398,3.47,4.0
30814,3.76,2.0
24103,4.51,5.0
45579,3.96,1.0
54182,3.03,4.0
18759,3.61,5.0
56193,3.91,3.0
29642,3.15,4.0
37186,3.71,2.0
15280,3.95,3.0
11475,3.57,3.0
67139,4.23,5.0
31332,3.77,5.0
71700,3.36,3.0
28723,3.99,3.5
67619,3.52,2.0
58539,4.1,4.0
45513,3.71,3.0
51311,4.22,2.0
5892,3.87,3.0
55587,3.18,1.5
18072,3.87,4.0
13162,3.61,4.0
18511,3.7,4.5
53831,3.21,2.0
65933,3.75,2.5
48950,3.81,4.0
57628,3.7,4.0
81027,3.61,4.5
9253,3.15,3.0
34221,3.32,2.0
13618,3.64,2.0
47029,3.1,5.0
11160,3.78,3.0
15323,3.87,4.0
40482,3.56,2.0
22321,3.5,2.0
36939,3.17,3.0
19230,3.34,3.0
40834,3.78,3.0
26333,3.45,4.0
17777,4.29,3.0
18742,3.84,4.5
69075,4.04,3.0
47469,4.07,5.0
20211,3.2,4.5
6631,2.64,2.0
4565,3.08,4.0
52470,3.5,2.5
69447,3.85,1.5
18127,3.78,3.0
28375,3.66,4.0
3413,4.22,4.0
47239,3.6,4.0
14548,3.57,5.0
32766,3.95,4.5
52767,3.72,1.0
40742,3.41,4.0
10230,3.98,4.0
17045,3.93,3.5
49354,3.81,5.0
9073,3.3,4.0
76883,3.36,3.5
16862,3.53,3.5
18988,3.29,4.5
6312,3.68,4.0
76255,3.65,4.0
18326,3.6,2.0
35252,3.17,3.5
64310,3.77,5.0
28210,3.31,4.0
78655,3.74,4.0
13129,3.26,5.0
33763,3.68,4.5
45911,2.93,2.0
55077,3.78,2.5
30501,3.31,4.0
72149,3.62,3.5
31096,3.95,3.0
8785,3.62,3.5
38782,3.61,4.0
10950,2.4,4.0
51998,3.77,4.0
73445,3.7,3.5
33008,3.29,4.0
46422,4.23,5.0
8415,3.83,3.0
3099,3.88,3.0
35706,3.74,4.0
8014,3.87,3.5
8460,2.98,4.0
76427,4.07,5.0
20200,3.67,2.5
41893,3.75,3.0
57988,3.54,5.0
24703,3.12,3.0
5377,4.11,3.0
49748,4.17,4.5
46436,3.68,5.0
72919,4.41,4.0
65917,3.61,3.5
65297,3.49,3.5
2967,3.87,2.5
78208,3.09,2.5
23233,3.23,3.0
69123,4.18,5.0
21661,4.05,4.0
56210,3.8,4.0
13883,3.53,4.0
2208,3.46,1.5
60635,3.9,3.0
45418,3.48,5.0
47296,3.63,4.5
16634,3.25,0.5
59568,3.13,4.0
62898,3.89,4.5
37966,3.99,4.0
18504,3.36,2.5
10920,3.57,4.0
52070,3.82,4.0
11681,3.89,5.0
40156,4.02,1.0
19008,3.26,2.5
7630,3.18,2.0
12273,3.13,5.0
72488,3.78,4.0
55368,4.2,3.5
12505,3.52,3.5
37803,4.26,1.0
43668,3.47,3.5
9709,3.91,4.5
17135,3.89,4.0
28427,3.18,2.0
2475,3.88,4.0
38322,3.55,4.0
80036,3.49,4.0
60928,4.19,5.0
18284,3.76,4.0
6478,3.66,3.0
424,3.62,4.0
33987,2.59,4.0
18632,3.97,4.0
52396,4.16,4.5
185,3.93,5.0
63522,3.05,3.0
24204,3.83,3.0
34086,4.1,4.5
78329,4.17,4.0
20467,3.86,3.0
64693,4.39,4.5
35653,3.6,4.5
11615,4.01,5.0
19913,3.68,1.0
58165,4.37,4.0
71972,3.94,4.0
77981,2.96,2.0
29117,3.61,3.0
28985,3.42,0.5
65203,4.19,5.0
24950,2.73,3.0
56963,2.91,4.5
31975,3.83,4.0
11197,3.46,3.0
3289,3.53,5.0
6142,3.94,4.5
64305,4.23,5.0
21524,3.65,0.5
71895,3.91,4.0
17330,3.42,4.0
10027,3.92,4.0
60141,3.62,3.0
3607,3.52,4.0
39491,3.42,3.0
12596,4.18,4.0
20565,3.58,3.5
56252,3.38,3.0
79369,4.28,5.0
54204,3.41,3.0
70612,3.91,5.0
26834,3.56,4.5
45004,3.85,5.0
49261,3.7,4.0
48938,3.57,4.0
25152,2.95,1.5
76097,3.29,1.0
74145,3.99,3.5
37741,4.01,4.0
22346,3.73,1.0
60908,4.28,3.0
62687,3.56,3.0
23705,3.76,5.0
19914,3.63,1.5
75852,3.76,3.5
56365,4.19,4.0
41659,3.77,5.0
30051,3.74,3.0
21580,3.84,3.5
72985,3.96,1.0
22203,3.25,1.0
27613,3.39,4.5
13978,3.05,1.0
4853,3.92,4.0
7908,3.3,1.0
28734,3.38,3.5
73550,4.18,5.0
16018,3.69,2.0
48054,4.16,4.5
36815,3.53,3.0
46054,3.83,2.5
42897,3.31,0.5
45247,3.46,3.0
68934,2.62,1.0
1300,2.8,1.0
49849,3.96,5.0
6933,4.01,4.0
16037,3.41,4.0
7728,3.22,3.0
58182,3.84,4.0
41809,3.23,5.0
79126,3.23,2.0
68627,2.59,1.0
76614,3.36,3.0
39663,3.69,3.0
46894,3.26,3.5
37286,4.27,4.0
56315,3.75,2.0
42758,3.81,0.5
56497,3.42,1.0
240,3.44,5.0
42866,4.14,4.0
48972,3.96,4.0
65895,3.8,5.0
9913,4.3,4.5
35773,3.36,3.0
12905,3.89,2.0
65416,3.9,4.5
29962,3.64,4.0
47198,3.99,4.0
27017,3.6,5.0
78519,3.66,3.5
43354,3.69,3.0
65376,4.26,5.0
18750,4.11,5.0
24248,3.83,2.5
30354,3.18,3.5
31766,3.61,4.5
3076,4.13,4.0
20505,3.5,3.5
66816,3.73,4.5
5580,3.71,4.0
81172,4.04,3.5
72217,4.07,4.0
71868,3.12,4.0
32815,3.72,5.0
80571,4.16,3.5
43897,2.7,2.0
54683,3.97,4.0
64102,3.66,3.0
8552,4.0,4.0
42125,3.15,4.0
31568,3.59,4.0
80077,3.83,4.5
41065,3.99,5.0
74316,3.61,3.0
15076,3.79,3.0
41666,3.79,4.0
78111,2.72,4.0
14217,3.77,3.5
70462,3.98,4.0
13729,4.07,3.5
38129,3.92,4.0
80240,2.83,4.0
52842,3.09,1.5
50408,3.94,5.0
10979,2.62,3.0
23115,3.02,3.5
18391,3.29,4.0
55602,4.26,3.0
42734,3.68,3.0
50215,3.96,4.0
31452,3.92,3.5
37676,3.42,3.5
16775,3.79,3.0
54894,3.73,3.5
61387,3.01,3.0
52826,3.91,3.5
67601,3.7,4.0
51772,3.49,3.0
79046,3.95,3.0
62678,4.16,3.0
75160,3.66,3.0
75836,3.64,2.5
78167,4.1,4.0
65890,3.5,2.5
73675,4.27,4.0
30981,4.08,3.0
60971,3.91,5.0
42742,3.49,3.5
23695,3.31,0.5
52954,3.41,2.5
9743,3.57,3.5
80677,3.32,5.0
79097,3.94,2.0
50487,3.31,3.0
52119,2.82,1.0
51278,3.86,5.0
57315,4.28,4.5
