original_row_index,oof_pred_knn,rating_true
444,3.77,4.0
445,3.34,4.0
448,4.43,5.0
449,3.39,2.0
450,4.53,5.0
452,2.85,3.0
454,3.75,3.0
455,3.73,3.0
457,3.59,3.0
458,3.63,4.0
459,3.81,4.0
460,3.34,3.0
461,3.29,4.0
462,3.34,3.0
463,3.92,4.0
464,3.74,4.0
465,3.68,4.0
468,3.43,3.0
469,3.52,4.0
470,3.74,3.0
473,2.85,2.0
474,3.38,1.0
476,3.27,2.0
477,3.65,4.0
479,3.86,3.0
481,3.94,4.0
484,3.34,3.0
487,4.27,3.0
488,4.28,5.0
489,4.09,5.0
490,3.87,4.0
491,4.27,5.0
494,3.99,5.0
495,4.21,3.0
497,4.23,3.0
498,3.72,4.0
499,4.14,4.0
500,4.19,3.0
501,3.96,3.0
502,4.01,3.0
503,3.43,3.0
505,3.61,3.0
506,3.59,2.0
507,3.77,4.0
509,3.59,3.0
511,3.4,5.0
512,3.87,1.0
513,3.89,5.0
514,4.03,2.5
515,4.03,5.0
522,4.09,4.0
525,3.68,2.0
526,4.17,5.0
527,3.49,5.0
528,3.94,4.0
529,3.91,4.5
530,4.24,4.0
531,4.0,3.5
532,4.5,5.0
533,4.29,3.5
535,4.28,4.0
536,4.09,4.0
537,4.35,4.0
539,4.08,4.0
540,4.08,4.0
542,4.28,4.0
544,4.0,0.5
545,3.67,4.0
546,3.91,3.0
550,4.1,4.0
551,4.36,4.0
553,3.54,3.5
554,4.03,5.0
556,3.38,3.0
557,3.69,3.0
562,3.43,3.5
563,3.6,3.5
569,3.69,4.5
571,2.96,3.0
573,3.94,5.0
574,4.04,4.0
575,4.1,4.5
578,3.43,4.0
580,4.02,4.5
581,3.35,3.5
583,4.04,5.0
584,3.74,4.0
587,3.8,3.5
591,3.94,3.5
592,3.48,5.0
594,3.64,4.5
595,3.65,4.0
596,3.78,4.0
597,3.72,3.0
603,3.85,5.0
604,3.32,3.0
606,4.38,4.0
607,3.99,4.0
608,3.84,4.0
609,3.53,2.5
614,3.63,4.5
615,3.78,4.5
616,3.12,3.5
618,3.67,3.5
619,3.01,2.0
621,3.07,3.0
622,2.55,3.0
623,4.06,4.0
624,3.91,4.0
626,4.24,3.0
629,4.06,4.0
630,4.27,5.0
631,3.23,5.0
632,3.91,4.0
633,4.15,5.0
634,3.88,2.0
635,3.87,5.0
636,3.93,4.0
637,3.66,4.0
638,4.03,4.0
639,3.83,5.0
640,4.17,4.0
641,3.21,3.0
642,3.63,5.0
643,4.09,4.0
645,3.7,4.0
647,3.54,3.0
648,3.09,4.0
651,3.77,4.0
652,3.96,4.0
653,3.89,2.0
654,3.45,3.0
655,2.81,2.0
656,4.24,5.0
657,3.32,3.0
659,4.26,5.0
660,4.53,4.0
662,3.44,3.0
663,3.96,4.0
665,4.31,3.0
667,3.58,4.0
669,4.27,4.0
670,4.28,4.0
671,4.03,4.0
673,3.85,3.0
677,3.18,4.0
678,3.84,3.0
679,2.56,3.0
681,3.13,3.0
683,3.85,5.0
684,3.6,5.0
691,3.25,3.0
694,3.01,3.0
695,3.28,4.0
696,3.13,2.0
697,3.04,3.0
698,3.73,4.0
699,4.26,5.0
705,4.19,5.0
706,3.26,4.5
707,4.06,5.0
708,3.84,5.0
710,3.91,3.0
711,3.83,3.0
712,3.72,3.0
714,3.25,4.0
715,3.54,4.5
717,4.24,4.0
719,3.88,3.0
720,3.71,3.5
725,3.29,4.0
727,3.91,4.0
728,3.33,5.0
729,3.95,5.0
731,4.23,2.0
732,3.23,1.0
733,3.27,4.0
734,4.08,1.0
742,3.17,1.0
743,3.84,1.0
744,3.67,4.0
745,3.69,2.0
747,3.75,2.0
749,4.17,1.0
751,3.95,4.0
753,3.64,1.0
757,3.33,1.0
758,3.5,4.0
759,3.78,2.0
760,3.1,1.0
765,3.66,5.0
766,3.2,2.0
768,3.48,5.0
771,3.92,2.0
774,3.93,5.0
775,4.03,2.5
780,3.81,3.0
781,3.72,3.5
782,4.17,4.0
783,3.13,3.0
787,3.32,3.0
788,4.14,4.0
789,3.77,2.5
791,3.96,4.0
792,3.55,4.0
793,4.24,3.0
794,3.47,3.5
795,4.13,4.0
797,3.76,3.0
802,3.68,3.0
806,3.1,3.5
807,3.99,4.5
808,4.06,3.5
809,4.49,4.5
813,3.7,4.5
815,4.22,4.5
817,3.97,4.0
819,3.79,4.5
821,3.18,3.0
822,3.56,1.0
823,4.29,4.0
824,3.22,3.0
831,3.17,3.0
832,3.0,2.0
833,4.1,4.0
834,3.84,2.0
835,3.19,5.0
837,3.18,3.0
842,3.5,2.0
843,3.87,4.0
845,3.55,2.5
846,3.73,2.5
847,4.03,3.5
848,3.9,3.0
851,3.86,3.0
852,3.8,4.0
856,3.36,3.0
857,4.24,5.0
860,3.34,0.5
863,3.59,4.0
864,3.37,1.0
866,4.19,5.0
867,3.45,2.5
869,3.44,3.5
874,4.1,3.0
876,3.39,4.0
877,3.62,3.0
880,3.83,4.0
883,3.17,2.0
885,2.91,2.0
887,2.8,1.5
888,3.75,4.5
890,4.09,4.0
892,3.02,3.5
896,3.13,2.0
901,3.44,1.0
902,4.25,5.0
903,4.08,5.0
905,3.19,1.0
906,4.54,2.0
907,3.47,1.5
909,3.49,2.5
912,3.88,3.0
913,3.39,3.0
915,4.09,1.0
917,3.74,4.0
918,2.99,2.0
919,3.05,3.5
921,3.6,3.0
925,3.55,4.0
926,3.16,3.0
927,4.17,4.0
928,3.17,1.0
931,2.99,2.5
934,3.84,3.0
937,3.54,4.0
938,3.36,3.0
939,3.8,1.5
940,3.89,2.0
941,3.1,3.5
943,4.26,4.0
944,3.48,2.0
945,3.06,1.5
946,3.89,5.0
947,3.43,3.0
949,3.87,4.0
951,3.05,2.0
952,3.21,1.0
954,3.97,4.0
957,3.91,5.0
959,3.4,2.5
960,4.15,5.0
961,3.58,3.0
962,4.17,2.5
963,3.97,1.5
964,3.39,4.0
967,3.86,2.0
968,3.69,3.0
969,2.85,2.0
971,3.26,1.0
972,3.77,2.5
974,3.53,2.0
975,4.08,4.0
976,3.7,2.5
977,2.71,2.5
981,2.92,3.0
982,3.86,5.0
985,3.8,1.0
987,3.75,4.0
990,3.95,5.0
992,4.34,5.0
996,4.21,4.0
998,4.12,4.0
999,4.0,1.5
1000,4.14,1.0
1002,4.23,3.5
1003,4.4,1.0
1004,4.26,5.0
1005,3.67,5.0
1007,4.33,1.0
1009,3.42,2.0
1013,3.43,2.5
1014,4.01,1.5
1015,3.85,4.0
1017,3.98,4.0
1018,4.16,3.0
1019,3.39,2.0
1020,4.24,4.0
1021,3.62,2.5
1023,4.05,4.0
1025,3.8,4.0
1026,3.31,2.5
1028,3.6,1.0
1029,3.58,4.0
1030,3.72,2.5
1032,4.16,3.0
1034,3.89,4.5
1035,4.23,5.0
1036,4.29,5.0
1037,4.18,1.0
1038,4.33,4.0
1040,3.97,4.0
1041,4.17,3.5
1043,4.18,2.0
1044,3.95,5.0
1045,4.38,3.0
1046,4.32,5.0
1047,4.02,4.5
1048,4.09,5.0
1050,4.35,3.0
1051,3.98,4.0
1052,3.7,1.5
1055,4.0,1.0
1058,4.21,4.0
1060,4.26,3.0
1061,3.81,4.0
1062,4.05,3.0
1064,4.11,3.5
1065,3.96,3.0
1066,3.8,1.0
1069,4.08,4.0
1070,4.35,5.0
1071,4.14,3.5
1072,4.08,4.0
1075,4.22,4.0
1077,3.84,4.0
1081,4.11,2.5
1082,4.11,1.0
1084,3.77,2.0
1085,4.22,4.0
1086,4.17,4.0
1087,3.83,4.0
1088,4.24,3.0
1089,3.85,5.0
1090,2.87,3.0
1091,3.81,2.0
1093,3.51,2.0
1094,3.07,2.0
1099,3.6,2.5
1100,3.0,3.0
1102,3.12,0.5
1103,3.69,3.5
1104,4.11,4.0
1105,3.49,3.0
1106,3.51,5.0
1107,3.46,4.0
1109,3.69,3.0
1112,3.19,3.0
1113,3.52,3.0
1114,3.7,1.0
1117,2.95,2.5
1118,2.78,1.5
1119,3.48,3.5
1124,3.85,2.0
1131,3.62,4.0
1133,3.29,3.0
1134,3.79,3.0
1135,3.77,3.0
1136,3.79,3.0
1137,3.05,4.0
1138,4.03,3.0
1139,3.91,2.0
1141,3.16,1.0
1143,4.16,4.0
1144,3.09,4.0
1145,3.85,4.0
1147,3.41,3.5
1150,3.47,0.5
1151,3.78,3.5
1152,4.05,4.0
1153,3.53,3.5
1154,3.87,1.0
1155,3.49,2.0
1156,2.63,1.0
1157,3.73,3.0
1159,3.23,3.0
1162,3.67,2.0
1163,3.8,3.5
1164,3.53,2.0
1165,3.55,4.0
1166,3.88,4.0
1167,3.14,2.0
1169,2.86,1.5
1170,3.5,4.0
1171,3.4,2.5
1172,3.89,2.0
1174,3.02,2.0
1176,3.6,4.5
1179,4.16,3.0
1180,3.63,3.0
1184,3.95,3.5
1186,4.13,3.0
1187,4.0,4.0
1188,3.58,2.5
1189,3.63,5.0
1190,3.62,3.0
1192,3.3,4.0
1194,4.02,3.0
1196,3.37,1.0
1198,4.31,4.5
1199,3.74,2.5
1202,2.9,2.0
1203,3.83,2.5
1205,4.17,3.0
1206,3.39,2.0
1207,4.28,4.0
1208,3.81,4.0
1210,3.21,1.0
1211,3.7,3.0
1213,4.18,3.0
1214,3.38,3.0
1216,3.36,4.0
1217,4.2,3.0
1218,3.93,4.0
1220,4.08,4.0
1222,3.77,1.0
1224,3.47,2.5
1225,3.14,2.5
1228,3.79,3.0
1229,3.26,2.0
1230,3.69,3.5
1232,3.6,2.0
1234,3.89,4.5
1235,4.2,2.0
1236,4.01,1.0
1237,3.82,3.0
1238,3.6,3.0
1239,3.55,2.0
1240,3.46,2.0
1241,3.45,0.5
1242,3.75,2.0
1243,3.54,3.0
1244,3.72,2.0
1250,4.04,5.0
1251,4.1,2.0
1252,3.43,3.0
1253,3.53,3.5
1254,3.39,4.5
1255,3.36,1.5
1256,3.75,3.0
1257,3.32,1.0
1258,3.59,2.0
1260,3.8,1.0
1261,3.41,4.0
1262,3.45,1.0
1263,3.88,5.0
1264,3.97,0.5
1265,3.57,2.0
1266,2.84,2.5
1269,3.11,3.0
1270,2.96,0.5
1271,4.25,5.0
1274,3.67,3.0
1275,3.8,2.5
1276,3.56,3.0
1277,3.34,1.0
1278,3.64,4.0
1280,3.12,3.0
1281,3.54,1.0
1282,3.58,1.0
1284,3.21,2.5
1285,3.44,4.0
1288,3.5,4.0
1290,3.54,3.0
1291,4.22,3.0
1293,3.33,3.0
1294,2.66,1.0
1295,3.5,3.0
1296,3.25,3.0
1302,3.71,3.5
1303,2.93,1.5
1305,3.75,1.0
1310,3.85,1.0
1311,3.34,1.0
1313,3.78,4.0
1314,3.63,3.5
1317,3.04,1.0
1320,3.34,4.0
1321,3.06,1.0
1322,3.29,4.0
1326,3.62,4.0
1327,3.94,4.0
1333,3.81,4.0
1334,3.56,2.0
1343,3.89,5.0
1346,3.94,4.0
1348,3.45,3.0
1349,3.53,1.0
1351,3.68,5.0
1352,4.31,3.0
1353,3.71,4.0
1354,3.16,4.0
1355,3.65,3.0
1356,3.84,4.0
1357,2.67,2.0
1359,2.85,1.5
1360,3.91,1.0
1362,4.11,3.0
1366,3.45,2.5
1367,3.62,1.0
1369,3.82,2.0
1370,3.83,5.0
1372,3.89,4.0
1374,3.32,3.0
1375,3.54,2.0
1376,3.6,2.0
1377,3.62,1.0
1378,3.43,4.0
1379,3.62,3.0
1381,3.38,1.0
1383,3.3,2.0
1386,2.74,4.0
1387,4.2,3.0
1388,3.14,1.5
1390,3.26,3.0
1393,3.09,1.0
1394,3.41,2.0
1397,4.04,1.5
1401,3.37,3.0
1402,4.16,1.5
1403,3.96,4.0
1404,3.09,4.5
1405,3.44,5.0
1406,3.31,0.5
1407,3.19,2.0
1408,3.5,3.0
1409,4.0,4.0
1410,4.03,4.0
1412,3.37,3.0
1413,3.56,3.0
1414,3.44,1.0
1415,3.59,1.0
1416,3.1,4.0
1417,3.52,1.5
1418,3.93,2.0
1419,3.46,1.0
1420,4.01,3.0
1422,4.09,4.0
1423,3.74,4.0
1427,3.21,1.0
1428,3.68,2.0
1430,3.46,3.5
1431,3.63,3.5
1432,3.52,2.0
1433,4.09,2.0
1435,3.6,5.0
1438,4.34,2.0
1439,3.06,1.0
1440,3.46,1.0
1441,2.88,1.0
1442,3.25,1.5
1445,3.42,2.0
1447,3.52,1.0
1448,2.52,1.0
1449,3.34,2.5
1450,3.44,2.0
1451,3.91,4.0
1452,2.75,4.0
1453,3.62,1.0
1454,3.3,3.0
1455,3.84,3.0
1456,3.67,2.0
1457,3.37,5.0
1460,3.67,1.0
1461,2.88,2.5
1462,3.26,1.0
1463,2.75,3.0
1464,2.82,1.0
1467,2.63,1.0
1469,2.79,1.0
1474,3.34,1.0
1475,3.22,3.0
1478,4.1,3.5
1480,4.16,1.0
1483,3.88,4.0
1484,3.34,1.0
1485,3.44,2.0
1486,3.02,3.0
1488,3.5,2.0
1490,3.73,3.0
1493,3.72,4.0
1494,3.68,1.0
1495,3.29,1.0
1496,3.7,1.0
1498,3.97,1.0
1501,3.42,1.0
1502,3.12,2.0
1503,3.15,3.0
1504,3.33,1.0
1505,3.26,3.0
1508,4.03,5.0
1511,3.08,3.0
1512,3.96,1.0
1515,3.66,3.0
1517,3.3,2.5
1518,3.99,1.0
1520,3.45,3.0
1521,3.37,2.0
1523,2.93,2.0
1525,3.74,5.0
1526,3.13,1.0
1527,3.27,3.0
1528,3.38,1.0
1530,3.59,3.0
1531,3.64,3.0
1532,2.43,1.0
1533,2.66,3.0
1534,3.05,4.0
1536,3.15,1.0
1538,3.41,3.0
1540,3.09,4.0
1541,3.25,1.0
1542,3.36,3.0
1543,3.08,3.0
1544,3.06,1.0
1546,2.95,2.0
1547,2.88,4.0
1548,3.35,3.0
1549,2.96,2.0
1552,2.86,4.0
1553,3.0,2.0
1555,3.91,3.0
1556,2.86,4.0
1558,3.07,1.0
1559,3.61,2.5
1560,3.66,3.0
1561,3.11,2.5
1562,3.26,2.0
1563,3.78,2.0
1564,4.09,4.0
1569,2.96,4.0
1571,3.79,5.0
1576,3.26,1.0
1577,3.66,5.0
1581,3.72,4.5
1582,3.56,2.0
1583,3.42,1.0
1584,3.26,2.0
1586,3.63,3.0
1589,3.36,1.0
1591,3.26,0.5
1592,3.41,1.0
1594,2.9,3.0
1596,3.93,1.5
1597,3.75,1.0
1599,3.49,4.5
1600,3.33,3.0
1602,3.33,3.0
1603,3.3,1.5
1604,3.59,2.5
1605,3.33,0.5
1606,3.05,1.0
1607,3.56,3.5
1608,3.96,3.5
1610,2.69,1.0
1611,3.08,2.5
1612,3.68,4.0
1616,3.79,2.0
1617,4.02,2.0
1619,3.93,1.0
1622,3.22,1.0
1625,3.65,0.5
1629,2.63,2.0
1630,3.43,1.0
1632,2.95,1.0
1634,3.63,2.5
1635,3.49,3.5
1637,2.99,0.5
1638,3.82,1.5
1641,3.34,4.0
1642,3.86,2.0
1643,3.81,3.0
1644,3.95,1.0
1646,3.56,1.0
1647,4.06,5.0
1649,3.37,2.0
1650,3.68,1.0
1652,3.9,1.0
1653,3.6,2.5
1658,3.94,4.0
1659,3.68,1.5
1665,3.66,1.0
1667,3.58,1.5
1670,3.55,3.0
1672,3.07,2.0
1673,4.03,1.0
1675,4.0,1.5
1678,3.13,2.5
1680,3.03,2.5
1682,3.5,3.0
1684,3.81,2.0
1685,4.08,3.5
1686,3.68,0.5
1689,4.24,5.0
1690,3.26,2.5
1693,3.62,3.5
1696,3.44,2.5
1697,4.07,1.0
1698,3.87,4.5
1699,3.34,1.5
1700,3.69,1.0
1701,3.72,3.0
1705,3.67,3.0
1707,3.14,2.5
1708,3.66,3.5
1709,3.43,3.0
1713,4.38,1.5
1714,3.46,1.0
1715,3.33,0.5
1717,3.35,3.5
1718,3.51,1.0
1719,2.92,3.0
1721,2.85,0.5
1724,4.05,5.0
1726,2.83,1.5
1728,3.5,1.0
1732,3.72,3.5
1739,3.79,3.0
1740,3.42,1.0
1741,3.88,1.5
1742,2.81,1.5
1743,3.85,3.5
1745,3.61,4.0
1746,3.39,3.0
1747,3.27,1.0
1748,3.85,3.5
1749,3.56,0.5
1750,3.82,2.0
1751,3.61,3.0
1753,3.36,1.0
1755,3.5,2.5
1756,3.79,4.5
1757,3.81,4.0
1758,2.71,1.0
1759,3.76,4.5
1760,4.01,2.0
1761,3.52,3.0
1762,3.95,3.5
1767,3.7,2.0
1768,4.01,5.0
1770,3.75,5.0
1771,3.82,2.0
1774,3.85,1.0
1776,3.78,1.5
1778,3.61,1.5
1779,3.24,0.5
1780,3.49,1.5
1781,3.38,0.5
1784,3.29,0.5
1785,4.25,3.5
1789,3.08,0.5
1790,3.79,1.5
1792,3.23,1.0
1793,3.26,1.0
1794,3.51,1.5
1796,3.57,3.0
1797,2.96,2.5
1799,3.68,1.0
1800,2.73,2.0
1801,4.0,2.0
1802,3.96,2.5
1803,3.42,4.5
1804,3.57,1.5
1805,3.78,4.5
1806,3.15,2.0
1807,3.94,1.5
1808,3.38,2.5
1809,3.44,4.5
1810,2.81,1.0
1812,3.91,2.0
1813,3.68,4.0
1816,3.7,1.5
1817,3.75,2.5
1818,3.49,1.0
1820,3.87,0.5
1823,3.5,1.5
1824,3.13,2.0
1825,3.16,0.5
1826,3.78,3.0
1827,3.38,0.5
1828,4.02,1.0
1829,3.75,2.0
1831,2.91,3.5
1832,3.52,3.5
1833,3.45,1.5
1835,4.12,1.0
1838,4.12,3.0
1839,3.64,4.0
1841,3.78,4.0
1846,3.44,5.0
1847,3.35,2.0
1849,3.48,1.5
1852,3.7,3.5
1854,3.79,2.5
1855,3.51,3.0
1856,3.76,4.0
1857,3.84,2.0
1858,3.79,1.0
1859,4.21,2.5
1860,3.74,3.5
1862,3.55,1.0
1865,3.52,2.0
1867,3.0,1.0
1868,3.96,2.0
1869,3.47,3.0
1870,3.97,1.0
1873,3.83,1.5
1876,4.33,4.5
1877,3.25,1.5
1878,4.01,4.5
1879,3.43,2.5
1880,3.06,1.0
1881,3.58,3.5
1883,3.09,0.5
1884,3.89,3.0
1886,2.81,1.0
1888,3.01,1.0
1889,3.66,4.0
1890,3.18,1.0
1892,4.07,1.0
1893,3.66,3.5
1894,3.08,3.5
1895,3.69,4.5
1896,3.67,0.5
1899,3.73,3.0
1901,3.61,1.5
1902,3.63,4.5
1906,3.47,3.0
1910,3.1,1.5
1914,3.47,2.0
1916,4.02,4.5
1917,3.04,4.0
1919,3.84,2.0
1920,3.57,1.0
1924,4.03,4.5
1925,3.09,4.0
1926,3.64,3.0
1927,3.8,5.0
1929,3.19,4.5
1930,3.13,2.5
1931,3.72,3.5
1933,3.74,2.0
1934,3.78,1.0
1937,3.63,1.5
1938,3.43,1.0
1939,3.72,4.0
1940,3.65,1.0
1941,3.69,3.5
1942,3.57,0.5
1947,3.99,3.0
1948,3.07,3.0
1952,2.83,3.0
1954,3.89,2.0
1955,3.77,4.5
1956,3.78,2.5
1957,4.13,5.0
1958,2.77,2.5
1960,3.19,1.5
1961,2.81,1.0
1962,2.97,0.5
1963,3.97,1.5
1965,4.08,2.0
1969,3.06,3.5
1972,3.89,2.0
1974,4.14,1.0
1975,3.75,3.0
1977,2.68,0.5
1980,3.16,1.0
1981,2.97,0.5
1982,3.83,3.0
1984,3.35,2.5
1985,3.75,1.0
1986,3.48,4.0
1987,3.48,1.5
1988,3.31,1.0
1991,3.07,4.0
1994,2.73,0.5
1996,3.59,1.5
1997,3.64,0.5
1999,3.41,0.5
2000,2.76,1.0
2003,4.11,3.0
2004,3.25,2.5
2006,3.33,3.5
2008,3.75,4.5
2009,3.75,0.5
2011,3.91,5.0
2012,4.15,3.0
2014,3.33,3.5
2017,3.75,4.0
2018,3.79,3.0
2019,3.51,1.5
2021,3.41,0.5
2022,3.06,0.5
2023,3.92,1.0
2026,3.87,1.0
2028,3.62,4.5
2029,3.35,4.0
2032,3.41,2.5
2033,3.04,1.0
2034,3.31,1.0
2035,3.5,3.0
2036,2.94,2.5
2037,2.93,3.5
2038,3.36,1.0
2041,2.93,4.0
2042,3.23,2.5
2044,3.55,1.5
2045,3.27,1.5
2046,3.62,1.0
2047,3.37,1.0
2048,3.62,1.0
2049,3.38,0.5
2050,3.13,3.5
2051,3.64,1.0
2052,3.32,1.5
2053,3.3,3.0
2054,3.35,1.5
2057,3.74,2.5
2058,3.85,3.0
2059,3.72,2.5
2060,3.68,0.5
2062,3.99,3.0
2064,3.65,3.5
2065,3.67,1.5
2066,3.62,1.0
2067,3.08,0.5
2068,3.53,1.0
2069,3.75,4.0
2070,3.85,3.0
2075,3.91,1.0
2076,3.22,1.5
2077,3.43,2.0
2078,3.54,3.0
2082,3.47,5.0
2083,3.2,0.5
2085,3.38,1.0
2088,3.72,1.0
2089,3.56,3.5
2091,3.7,3.5
2092,3.3,2.0
2095,3.75,1.5
2096,4.24,4.5
2098,3.56,4.0
2099,3.68,2.0
2102,4.15,1.5
2103,3.14,1.0
2104,3.77,0.5
2105,4.09,1.0
2106,3.74,3.5
2108,3.68,3.0
2109,3.4,4.0
2110,3.74,0.5
2111,3.32,0.5
2114,4.15,1.0
2116,3.08,4.0
2117,2.93,4.0
2118,3.86,4.5
2122,3.34,2.5
2125,4.28,1.5
2126,4.3,4.5
2130,3.49,1.5
2131,3.31,0.5
2132,3.26,2.0
2134,4.26,1.0
2142,4.29,0.5
2145,3.36,1.5
2146,3.21,2.0
2148,3.98,1.5
2149,4.15,3.0
2150,2.92,4.5
2154,3.53,3.0
2158,3.95,3.0
2160,3.69,2.5
2162,3.55,2.0
2165,3.34,2.0
2168,3.8,3.0
2170,3.47,3.5
2171,3.22,4.5
2173,4.05,1.0
2174,3.56,0.5
2175,3.7,1.0
2176,3.73,3.0
2177,3.56,3.0
2178,3.17,3.0
2184,3.55,3.0
2188,3.92,4.0
2189,3.09,4.0
2191,3.73,0.5
2193,3.96,3.0
2197,4.03,3.5
2198,4.03,3.5
2200,2.64,3.5
2202,3.77,2.0
2203,3.45,1.5
2206,3.87,0.5
2208,3.42,1.5
2210,2.8,1.5
2211,3.25,3.5
2212,3.5,3.5
2215,3.0,4.0
2219,3.23,2.0
2221,4.26,4.5
2222,4.53,4.0
2224,4.17,4.0
2226,3.8,5.0
2227,4.1,5.0
2228,3.95,3.5
2231,2.81,4.0
2232,3.34,5.0
2234,4.15,4.0
2236,3.73,3.5
2237,2.76,4.5
2238,3.5,4.0
2239,3.04,4.5
2240,2.97,4.0
2241,3.94,4.5
2242,3.75,3.0
2244,4.2,4.0
2245,4.09,4.5
2247,3.38,4.0
2249,3.74,4.5
2253,4.24,5.0
2254,4.26,5.0
2256,3.45,4.0
2257,3.04,3.5
2258,3.17,3.0
2260,3.56,5.0
2261,4.14,2.5
2264,4.35,3.5
2265,3.4,2.0
2266,4.12,4.0
2268,4.53,5.0
2269,4.19,2.5
